date,total_deposit_jpy
2019-11,357.0
2019-12,31297.0
2020-01,72480.0
2020-02,161700.0
2020-03,32647.0
2020-04,44978.0
2020-05,70892.0
2020-06,46728.0
2020-07,51275.0
2020-08,57345.0
2020-09,15213.0
2020-10,96564.0
2020-11,20845.0
2020-12,119268.0
2021-01,155532.0
2021-02,348067.0
2021-03,658826.0
2021-04,1605062.0
2021-05,1637597.0
2021-06,2079942.0
2021-07,2096284.0
2021-08,4148194.0
2021-09,3315157.0
2021-10,4177535.0
2021-11,4119583.0
2021-12,4505683.0
2022-01,5601023.0
2022-02,5514220.0
2022-03,6403174.0
2022-04,6280381.0
2022-05,6420141.0
2022-06,8113121.0
2022-07,8123444.0
2022-08,9645135.0
2022-09,10892688
2022-10,7291778.0
2022-11,6660080.0
2022-12,9142359.0
2023-01,9565030.0
2023-02,8681332.0
2023-03,10304153
2023-04,10595731
2023-05,7885928.0
2023-06,8347123.0
2023-07,8691417.0
2023-08,8662052.0
2023-09,8336129.0
2023-10,9582583.0
2023-11,9723485.0
2023-12,10321578
2024-01,11846902
2024-02,9696521.0
2024-03,13194877
2024-04,9596870.0
2024-05,9066184.0
2024-06,7672625.0
2024-07,6424503.0
2024-08,7424201.0
2024-09,8309717.0
2024-10,7514208.0
2024-11,7958114.0
2024-12,8676548.0
2025-01,6118348.0
2025-02,6075229.0
2025-03,5727930.0
2025-04,5579697.0
2025-05,3942358.0
2025-06,4037925.0
2025-07,5360958.0
2025-08,4078771.0
2025-09,3795873.0
2025-10,1817370.0
2025-11,453332.0
2025-12,3786364.0
2026-01,4354609.0
2026-02,3076786.0
2026-03,3048556.0
